"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"09/10/2009","83","PM2.5","CITY HALL","17-043-4002","AQS","9","61","39","52","83","38"
"09/11/2009","84","Ozone","SEARS TOWER","17-031-0042","AQS","13","84","37","33","72","37"
"09/12/2009","78","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","7","51","59","34","78","48"
"09/13/2009","73","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","10","50","30","41","73","48"
"09/14/2009","90","SO2","NIPSCO Wheatfield","18-073-0002","AQS","16","84","90","54","72","60"
"09/15/2009","69","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","16","45","24","41","69","55"
"09/16/2009","64","PM2.5","MCKINLEY SCHOOL","17-089-0003","AQS","7","34","50","51","64","23"
"09/17/2009","55","PM2.5","CITY HALL","17-043-4002","AQS","8","42","30","34","55","40"
"09/18/2009","59","PM2.5","CITY HALL","17-043-4002","AQS","13","43","47","37","59","53"
"09/19/2009","52","PM2.5","CITY HALL","17-043-4002","AQS","9","44","31","27","52","34"
"09/20/2009","57","PM2.5","CITY HALL","17-043-4002","AQS","9","50","23","22","57","35"
"09/21/2009","71","PM2.5","VILLAGE HALL","17-031-1016","AQS","11","35","36","33","71","43"
"09/22/2009","67","PM2.5","4TH DISTRICT COURT","17-031-6006","AQS","13","30","17","28","67","44"
"09/23/2009","65","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","14","42","31","29","65","42"
"09/24/2009","71","PM2.5","CITY HALL","17-043-4002","AQS","14","39","17","29","71","42"
"09/25/2009","53","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","10","26","16","23","53","30"
"09/26/2009","63","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","11","30","34","17","63","40"
"09/27/2009","54","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","11","40","29","22","54","29"
"09/28/2009","49","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","6","24","49","47","45","18"
"09/29/2009","55","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","30","37","39","55","30"
"09/30/2009","36","NO2","CTA BUILDING","17-031-0063","AQS","9","33","10","29","30","36"
"10/01/2009","53","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","11","35","23","19","53","46"
"10/02/2009","46","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","7","22","13","13","46","26"
"10/03/2009","65","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","7","14","65","8","38","20"
"10/04/2009","37","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","10","19","37","10","37","20"
"10/05/2009","40","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","10","25","21","18","40","30"
"10/06/2009","60","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","8","25","60","19","43","57"
"10/07/2009","42","NO2","CTA BUILDING","17-031-0063","AQS","9","25","30","21","36","42"
"10/08/2009","48","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","10","21","14","33","48","46"
"10/09/2009","43","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","7","21","24","16","43","37"
"10/10/2009","49","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","7","23","49","15","43","30"
"10/11/2009","41","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","7","28","20","18","41","29"
"10/12/2009","61","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","13","27","21","28","61","37"
"10/13/2009","47","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","9","28","26","29","47","24"
"10/14/2009","38","PM2.5","CITY HALL","17-043-4002","AQS","9","27","13","13","38","26"
"10/15/2009","45","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","9","29","26","9","45","25"
"10/16/2009","52","PM2.5","IEPA TRAILER","17-031-3103","AQS","9","31","46","17","52","31"
"10/17/2009","55","NO2","CTA BUILDING","17-031-0063","AQS","8","30","14","12","45","55"
"10/18/2009","55","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","14","29","41","16","55","29"
"10/19/2009","60","PM2.5","CARY GROVE HS","17-111-0001","AQS","14","35","24","45","60","47"
"10/20/2009","61","PM2.5","VILLAGE HALL","17-031-1016","AQS","16","34","24","52","61","43"
"10/21/2009","61","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","13","37","17","42","61","39"
"10/22/2009","61","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","5","19","19","22","61","41"
"10/23/2009","48","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","7","18","14","9","48","23"
"10/24/2009","45","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","10","27","30","13","45","31"
"10/25/2009","43","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","11","31","16","13","43","37"
"10/26/2009","50","PM2.5","CITY HALL","17-043-4002","AQS","8","17","21","18","50","39"
"10/27/2009","58","PM2.5","CITY HALL","17-043-4002","AQS","6","24","17","14","58","24"
"10/28/2009","77","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","14","26","17","30","77","40"
"10/29/2009","77","PM2.5","4TH DISTRICT COURT","17-031-6006","AQS","13","31","20","26","77","36"
"10/30/2009","47","PM2.5","4TH DISTRICT COURT","17-031-6006","AQS","6","25","16","11","47","35"
"10/31/2009","35","PM2.5","WASHINGTON HS","17-031-0022","AQS","6","26","33","11","35","32"
"11/01/2009","58","PM2.5","CITY HALL","17-043-4002","AQS","10","29","14","15","58","39"
"11/02/2009","74","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","28","74","42","63","44"
"11/03/2009","91","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","21","91","44","55","34"
"11/04/2009","52","PM2.5","WASHINGTON HS","17-031-0022","AQS","10","26","23","28","52","49"
"11/05/2009","69","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","13","30","69","38","61","54"
"11/06/2009","73","NO2","CTA BUILDING","17-031-0063","AQS","15","35","27","51","62","73"
"11/07/2009","75","PM2.5","CITY HALL","17-043-4002","AQS","18","42","23","42","75","62"
"11/08/2009","105","PM2.5","VILLAGE HALL","17-031-1016","AQS","25","41","23","49","105","56"
"11/09/2009","74","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","11","36","23","35","74","47"
"11/10/2009","47","NO2","CTA BUILDING","17-031-0063","AQS","13","34","33","15","42","47"
"11/11/2009","65","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","13","31","34","23","65","54"
"11/12/2009","61","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","17","30","16","32","61","57"
"11/13/2009","56","PM2.5","WASHINGTON HS","17-031-0022","AQS","8","25","21","34","56","52"
"11/14/2009","73","PM2.5","CITY HALL","17-043-4002","AQS","9","32","29","35","73","51"
"11/15/2009","50","PM2.5","WASHINGTON HS","17-031-0022","AQS","9","34","7","29","50","24"
"11/16/2009","46","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","9","32","20","10","46","30"
"11/17/2009","58","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","10","32","11","17","58","30"
"11/18/2009","56","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","10","19","17","14","56","41"
"11/19/2009","52","PM2.5","CITY HALL","17-043-4002","AQS","10","9","27","15","52","40"
"11/20/2009","64","PM2.5","WASHINGTON HS","17-031-0022","AQS","11","25","56","24","64","62"
"11/21/2009","82","PM2.5","IEPA TRAILER","17-031-3103","AQS","23","27","31","34","82","51"
"11/22/2009","90","PM2.5","VILLAGE HALL","17-031-1016","AQS","32","32","17","27","90","42"
"11/23/2009","115","PM2.5","CITY HALL","17-043-4002","AQS","16","27","37","45","115","43"
"11/24/2009","94","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","17","16","10","30","94","64"
"11/25/2009","46","PM2.5","WASHINGTON HS","17-031-0022","AQS","8","19","37","10","46","36"
"11/26/2009","79","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","25","79","35","77","22"
"11/27/2009","59","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","24","47","28","59","47"
"11/28/2009","75","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","18","20","75","23","66","47"
"11/29/2009","83","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","26","20","16","26","83","47"
"11/30/2009","49","NO2","CTA BUILDING","17-031-0063","AQS","8","26","33","23","48","49"
"12/01/2009","54","PM2.5","WASHINGTON HS","17-031-0022","AQS","10","25","30","32","54","46"
"12/02/2009","59","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","19","19","34","59","44"
"12/03/2009","47","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","19","21","43","21","47","40"
"12/04/2009","54","PM2.5","WASHINGTON HS","17-031-0022","AQS","8","25","33","20","54","49"
"12/05/2009","52","PM2.5","WASHINGTON HS","17-031-0022","AQS","13","24","14","23","52","41"
"12/06/2009","59","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","13","20","17","16","59","34"
"12/07/2009","80","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","10","21","26","24","80","49"
"12/08/2009","73","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","13","19","23","19","73","40"
"12/09/2009","45","PM2.5","CAMP LOGAN TRAILER","17-097-1007","AQS","9","26","41","28","45","42"
"12/10/2009","51","NO2","CTA BUILDING","17-031-0063","AQS","8","26","29","25","48","51"
"12/11/2009","62","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","17","25","40","43","62","60"
"12/12/2009","58","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","20","21","26","25","58","43"
"12/13/2009","58","PM2.5","CITY HALL","17-043-4002","AQS","15","14","23","15","58","48"
"12/14/2009","70","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","25","56","25","70","33"
"12/15/2009","61","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","30","55","30","61","31"
"12/16/2009","64","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","17","24","64","30","61","44"
"12/17/2009","71","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","17","10","27","36","71","45"
"12/18/2009","88","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","15","11","31","24","88","41"
"12/19/2009","74","PM2.5","CITY HALL","17-043-4002","AQS","8","23","20","19","74","30"
"12/20/2009","62","PM2.5","WASHINGTON HS","17-031-0022","AQS","9","22","21","17","62","33"
"12/21/2009","81","PM2.5","KANE COUNTY HEALTH DEPT","17-089-0007","AQS","10","19","20","29","81","35"
"12/22/2009","83","PM2.5","CITY HALL","17-043-4002","AQS","15","28","23","22","83","38"
"12/23/2009","59","PM2.5","CITY HALL","17-043-4002","AQS","13","32","17","12","59","35"
"12/24/2009","59","PM2.5","CITY HALL","17-043-4002","AQS","10","31","16","12","59","37"
"12/25/2009","39","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","10","30","20","13","39","23"
"12/26/2009","38","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","7","30","11","12","38","31"
"12/27/2009","60","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","7","27","44","19","60","34"
"12/28/2009","61","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","32","61","36","60","50"
"12/29/2009","71","NO2","CTA BUILDING","17-031-0063","AQS","11","27","33","29","60","71"
"12/30/2009","76","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","9","29","19","22","76","47"
"12/31/2009","66","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","7","31","36","20","66","47"
